Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
crochet-tote-bag-25-in-multicolored-woven-raffia,CROCHET TOTE BAG 25 IN MULTICOLORED WOVEN RAFFIA,"<p>• Color: Multicolor</p>
<p>• Material: Woven Raffia</p>
<p>• Size: Bottom length 19cm, opening width 25.5cm, height 14cm, bottom width 10cm</p>
<p>• The products are 1:1 copies of the original version and they are the same from every detail.</p>
<p>• Support return and exchange in 1 month if the product is defective or the customer is not satisfied with the product.</p>",miumiu bag,,bag,"top handle, tote bag",TRUE,Title,Default Title,,,,,,0,,0,deny,manual,336.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235757_daa5de3f-893e-4e76-a6ae-0bff24e58272.jpg?v=1777025553,1,,,,,,g,,,,,active
crochet-tote-bag-25-in-multicolored-woven-raffia,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235803_ec4e0c53-31ce-46d7-a01d-975bcd2afe57.jpg?v=1777025553,2,,,,,,,,,,,
crochet-tote-bag-25-in-multicolored-woven-raffia,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235807_f79c985e-8d98-459b-b1a0-9476565a3bb1.jpg?v=1777025553,3,,,,,,,,,,,
crochet-tote-bag-25-in-multicolored-woven-raffia,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235811_6025ea3d-2793-450d-81cc-3ef8f4a6c895.jpg?v=1777025553,4,,,,,,,,,,,
crochet-tote-bag-25-in-multicolored-woven-raffia,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235815_26d7938d-bfd5-40cd-bbc0-8077ae142f84.jpg?v=1777025553,5,,,,,,,,,,,
crochet-tote-bag-25-in-multicolored-woven-raffia,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235818_026edc16-ce98-40ef-9687-410e5bcec35d.jpg?v=1777025553,6,,,,,,,,,,,
crochet-tote-bag-25-in-multicolored-woven-raffia,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235822_ee2031b8-727a-43cf-abb8-175d8cdec70a.jpg?v=1777025553,7,,,,,,,,,,,
crochet-tote-bag-25-in-multicolored-woven-raffia,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235825_4468e976-c20e-4af8-91ea-676e0e1b978d.jpg?v=1777025553,8,,,,,,,,,,,
crochet-tote-bag-25-in-multicolored-woven-raffia,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/Image_20250411235829_adf7b978-7d7e-47d7-8c63-38099b6c9ceb.jpg?v=1777025553,9,,,,,,,,,,,
arcadie-matelasse-bag-27-in-congo-brown-calfskin-gold-hardware,ARCADIE MATELASSÉ BAG 27 IN CONGO BROWN CALFSKIN GOLD HARDWARE,"<p>• Color: Congo Brown</p>
<p>• Material: Calfskin</p>
<p>• Size: 27 x 12 x 9 cm</p>
<p>• The products are 1:1 copies of the original version and they are the same from every detail.</p>
<p>• Support return and exchange in 1 month if the product is defective or the customer is not satisfied with the product.</p>",miumiu bag,,bag,top handle,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,336.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_119_1_jpg.jpg?v=1759124702,1,,,,,,g,,,,,active
arcadie-matelasse-bag-27-in-congo-brown-calfskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_4567_0_jpg.jpg?v=1759124702,2,,,,,,,,,,,
arcadie-matelasse-bag-27-in-congo-brown-calfskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_542_3_jpg.jpg?v=1759124702,3,,,,,,,,,,,
arcadie-matelasse-bag-27-in-congo-brown-calfskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_1339_6_jpg.jpg?v=1759124702,4,,,,,,,,,,,
arcadie-matelasse-bag-27-in-congo-brown-calfskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_3747_8_jpg.jpg?v=1759124702,5,,,,,,,,,,,
arcadie-matelasse-bag-27-in-congo-brown-calfskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_5536_7_jpg.jpg?v=1759124702,6,,,,,,,,,,,
arcadie-matelasse-bag-27-in-congo-brown-calfskin-gold-hardware,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_89648692_20241222_i1734863811_5761_2_jpg.jpg?v=1759124702,7,,,,,,,,,,,
