Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
summer-charm-walk-loafer-pink-sand-suede,summer charm walk loafer pink sand suede,"
<p><span data-mce-fragment=""1"">â€¢ </span>Color: Pink Sand</p>
<p><span data-mce-fragment=""1"">â€¢ </span>Material : Suede, Suede Calfskin<span data-mce-fragment=""1""></span></p>
<p><span data-mce-fragment=""1"">â€¢ </span>Heel height: 15mm</p>
<p><span data-mce-fragment=""1"">â€¢ </span>Original consistent counter full set with packaging</p>
<p><span data-mce-fragment=""1"">â€¢ </span>Shoe sizes: 35-42</p>
<p><span data-mce-fragment=""1"">â€¢ </span>The products are 1:1 copies of the original version and they are the same from every detail.</p>
<p><span data-mce-fragment=""1"">â€¢ </span>After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</p>
<p><strong>Suggested Size</strong></p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0600/6718/4684/files/Image_20240220153920_600x600.jpg?v=1708422614"" width=""544"" height=""576""></p>
<ul></ul>",Loro Piana shoe,,Shoe,loafers & espadrilles,TRUE,Size,35,,,,,,0,,0,deny,manual,141.75,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d2d32af3_20231018_i1697605521_4617_2_jpg_738e3a23-5857-4b5f-b8fe-f8effb62d84a.jpg?v=1768985200,1,,,,,,g,,,,,active
summer-charm-walk-loafer-pink-sand-suede,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d2d32af3_20231018_i1697605521_190_7_jpg_c0101491-8b49-42a3-9ebd-fa31a2973608.jpg?v=1768985200,2,,,,,,,,,,,
summer-charm-walk-loafer-pink-sand-suede,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d2d32af3_20231018_i1697605521_1672_0_jpg_cadf71a2-22e7-453d-bf67-b89eaf27f2c2.jpg?v=1768985200,3,,,,,,,,,,,
summer-charm-walk-loafer-pink-sand-suede,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d2d32af3_20231018_i1697605521_3023_3_jpg_c9bee11a-d46c-443d-b316-980cabbec6df.jpg?v=1768985200,4,,,,,,,,,,,
summer-charm-walk-loafer-pink-sand-suede,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d2d32af3_20231018_i1697605521_3514_5_jpg_3d46b8cb-aac5-4615-8668-795fdfa17d27.jpg?v=1768985200,5,,,,,,,,,,,
summer-charm-walk-loafer-pink-sand-suede,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d2d32af3_20231018_i1697605521_4011_1_jpg_34444f94-8a56-4126-82af-0d33bf5b9fde.jpg?v=1768985200,6,,,,,,,,,,,
summer-charm-walk-loafer-pink-sand-suede,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d2d32af3_20231018_i1697605521_7222_8_jpg_9e72d54d-0711-4d41-8327-056e97e1888f.jpg?v=1768985200,7,,,,,,,,,,,
summer-charm-walk-loafer-pink-sand-suede,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d2d32af3_20231018_i1697605521_7825_4_jpg_60cad7d3-80f2-45e1-bee8-b44fd21bbd58.jpg?v=1768985200,8,,,,,,,,,,,
summer-charm-walk-loafer-pink-sand-suede,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_d2d32af3_20231018_i1697605521_9639_6_jpg_a977b745-2e48-43b2-a9c2-5929071c1a4c.jpg?v=1768985200,9,,,,,,,,,,,
summer-charm-walk-loafer-pink-sand-suede,,"
<p><span data-mce-fragment=""1"">â€¢ </span>Color: Pink Sand</p>
<p><span data-mce-fragment=""1"">â€¢ </span>Material : Suede, Suede Calfskin<span data-mce-fragment=""1""></span></p>
<p><span data-mce-fragment=""1"">â€¢ </span>Heel height: 15mm</p>
<p><span data-mce-fragment=""1"">â€¢ </span>Original consistent counter full set with packaging</p>
<p><span data-mce-fragment=""1"">â€¢ </span>Shoe sizes: 35-42</p>
<p><span data-mce-fragment=""1"">â€¢ </span>The products are 1:1 copies of the original version and they are the same from every detail.</p>
<p><span data-mce-fragment=""1"">â€¢ </span>After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</p>
<p><strong>Suggested Size</strong></p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0600/6718/4684/files/Image_20240220153920_600x600.jpg?v=1708422614"" width=""544"" height=""576""></p>
<ul></ul>",Loro Piana shoe,,Shoe,loafers & espadrilles,TRUE,Size,36,,,,,,0,,0,deny,manual,141.75,,TRUE,FALSE,,,,,,,,,g,,,,,active
