Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
hm-kelly-double-tour-pink-gold-bracelet,HM Kelly Double Tour Pink Gold Bracelet,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Silver, Pink Gold, Gold</li>
<li>Stone: No</li>
<li>Ref. HMK12</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated <br>
</li>
<li>Length: 38cm</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b> ( <a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>",hermes,,bracelet,new arrival,TRUE,Material,Silver alloy - 14k gold plated ( no box ),Color,Brown,,,,0,,0,deny,manual,45.15,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_3155_2_jpg_4a41a27c-e05f-4efb-9153-801437a098dd.jpg?v=1774230059,1,,,,,,g,,,,,active
hm-kelly-double-tour-pink-gold-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_601_8_jpg.jpg?v=1774230059,2,,,,,,,,,,,
hm-kelly-double-tour-pink-gold-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_6096_3_jpg.jpg?v=1774230058,3,,,,,,,,,,,
hm-kelly-double-tour-pink-gold-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_6404_4_jpg.jpg?v=1774230058,4,,,,,,,,,,,
hm-kelly-double-tour-pink-gold-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_8_6_jpg.jpg?v=1774230058,5,,,,,,,,,,,
hm-kelly-double-tour-pink-gold-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_6883_7_jpg.jpg?v=1774230059,6,,,,,,,,,,,
hm-kelly-double-tour-pink-gold-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_7409_5_jpg.jpg?v=1774230059,7,,,,,,,,,,,
hm-kelly-double-tour-pink-gold-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_7904_0_jpg.jpg?v=1774230058,8,,,,,,,,,,,
hm-kelly-double-tour-pink-gold-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/20210605_i1622878846_6752_1_jpg.jpg?v=1774230058,9,,,,,,,,,,,
hm-kelly-double-tour-pink-gold-bracelet,,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Silver, Pink Gold, Gold</li>
<li>Stone: No</li>
<li>Ref. HMK12</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated <br>
</li>
<li>Length: 38cm</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b> ( <a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<ul></ul>",hermes,,bracelet,new arrival,TRUE,Material,Silver alloy - 14k gold plated ( no box ),Color,Green,,,,0,,0,deny,manual,45.15,,TRUE,FALSE,,,,,,,,,g,,,,,active
