Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
bee-love-ring-silver-diamond,BEE LOVE RING SILVER DIAMOND,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Silver</li>
<li>Stone : Cubic ZIrconia</li>
<li>REF.: <span data-mce-fragment=""1"">RO9ND8</span>
</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated <br>
</li>
<li>Width: 5 mm</li>
<li>Size : 6, 7, 8 US</li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b>     ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<p><strong>Suggested Size</strong></p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/ring-size-women-e1601375995759_480x480.jpg?v=1637492414"" width=""490"" height=""490""></p>
<p><br></p>
<ul></ul>
<br>
<ul></ul>",chaumet,,ring,,TRUE,Material,Silver alloy - 14k gold plated ( no box ),Size,6,,,,0,,0,deny,manual,42.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-white-gold-diamonds-2-5-mm-081890_19d5aa25-0bd7-4d52-a34c-88540ff43882.jpg?v=1774332676,1,,,,,,g,,,,,active
bee-love-ring-silver-diamond,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-white-gold-diamonds-2-5-mm-081890-coral-1_4cba3f2f-4835-4db0-8e9e-7ac2efc0deb9.jpg?v=1774332675,2,,,,,,,,,,,
bee-love-ring-silver-diamond,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-white-gold-diamonds-2-5-mm-081890-coral-2-900x900_d0647aa7-7741-4226-a448-e4529ced297c.jpg?v=1774332675,3,,,,,,,,,,,
bee-love-ring-silver-diamond,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-white-gold-diamonds-2-5-mm-081890-coral-3-900x900_8e195ae6-2d12-42d2-b464-c19a5166d1ac.jpg?v=1774332675,4,,,,,,,,,,,
bee-love-ring-silver-diamond,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/chaumet-bee-my-love-ring-white-gold-diamonds-2-5-mm-081890-coral-4-900x900_72b8da49-8580-4b24-ba90-df2ddf1e4b38.jpg?v=1774332675,5,,,,,,,,,,,
bee-love-ring-silver-diamond,,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Silver</li>
<li>Stone : Cubic ZIrconia</li>
<li>REF.: <span data-mce-fragment=""1"">RO9ND8</span>
</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated <br>
</li>
<li>Width: 5 mm</li>
<li>Size : 6, 7, 8 US</li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b>     ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<p><strong>Suggested Size</strong></p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/ring-size-women-e1601375995759_480x480.jpg?v=1637492414"" width=""490"" height=""490""></p>
<p><br></p>
<ul></ul>
<br>
<ul></ul>",chaumet,,ring,,TRUE,Material,Silver alloy - 14k gold plated ( no box ),Size,7,,,,0,,0,deny,manual,42.00,,TRUE,FALSE,,,,,,,,,g,,,,,active
bee-love-ring-silver-diamond,,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Silver</li>
<li>Stone : Cubic ZIrconia</li>
<li>REF.: <span data-mce-fragment=""1"">RO9ND8</span>
</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated <br>
</li>
<li>Width: 5 mm</li>
<li>Size : 6, 7, 8 US</li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b>     ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<p><strong>Suggested Size</strong></p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/ring-size-women-e1601375995759_480x480.jpg?v=1637492414"" width=""490"" height=""490""></p>
<p><br></p>
<ul></ul>
<br>
<ul></ul>",chaumet,,ring,,TRUE,Material,Silver alloy - 14k gold plated ( no box ),Size,8,,,,0,,0,deny,manual,42.00,,TRUE,FALSE,,,,,,,,,g,,,,,active
bee-love-ring-silver-diamond,,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Silver</li>
<li>Stone : Cubic ZIrconia</li>
<li>REF.: <span data-mce-fragment=""1"">RO9ND8</span>
</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated <br>
</li>
<li>Width: 5 mm</li>
<li>Size : 6, 7, 8 US</li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b>     ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<p><strong>Suggested Size</strong></p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/ring-size-women-e1601375995759_480x480.jpg?v=1637492414"" width=""490"" height=""490""></p>
<p><br></p>
<ul></ul>
<br>
<ul></ul>",chaumet,,ring,,TRUE,Material,925 Sterling Silver - 18k Gold Plated,Size,6,,,,0,,0,deny,manual,74.55,,TRUE,FALSE,,,,,,,,,g,,,,,active
bee-love-ring-silver-diamond,,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Silver</li>
<li>Stone : Cubic ZIrconia</li>
<li>REF.: <span data-mce-fragment=""1"">RO9ND8</span>
</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated <br>
</li>
<li>Width: 5 mm</li>
<li>Size : 6, 7, 8 US</li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b>     ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<p><strong>Suggested Size</strong></p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/ring-size-women-e1601375995759_480x480.jpg?v=1637492414"" width=""490"" height=""490""></p>
<p><br></p>
<ul></ul>
<br>
<ul></ul>",chaumet,,ring,,TRUE,Material,925 Sterling Silver - 18k Gold Plated,Size,7,,,,0,,0,deny,manual,74.55,,TRUE,FALSE,,,,,,,,,g,,,,,active
bee-love-ring-silver-diamond,,"<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Silver</li>
<li>Stone : Cubic ZIrconia</li>
<li>REF.: <span data-mce-fragment=""1"">RO9ND8</span>
</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated <br>
</li>
<li>Width: 5 mm</li>
<li>Size : 6, 7, 8 US</li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line.</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b>     ( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"" data-mce-fragment=""1"" data-mce-href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<p><strong>Suggested Size</strong></p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/ring-size-women-e1601375995759_480x480.jpg?v=1637492414"" width=""490"" height=""490""></p>
<p><br></p>
<ul></ul>
<br>
<ul></ul>",chaumet,,ring,,TRUE,Material,925 Sterling Silver - 18k Gold Plated,Size,8,,,,0,,0,deny,manual,74.55,,TRUE,FALSE,,,,,,,,,g,,,,,active
