Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
perlee-signature-bracelet,PERLEE SIGNATURE BRACELET,"<p><video style=""max-width: 100%; height: auto;"" controls=""controls""> <source type=""video/mp4"" src=""https://cdn.shopify.com/videos/c/o/v/4f6e7b00fb664b54ad62fd590fbdcbcd.mp4?v=1603698625""> Your browser does not support our video. </source></video></p>
<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Pink Gold, Silver, Gold</li>
<li>Stone: no</li>
<li>Ref.<span data-mce-fragment=""1"">RO3YB00</span>
</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated <br><span data-mce-fragment=""1"">- 18k Real Gold ( contact us via instagram)</span><br>
</li>
<li>Width: 8 mm</li>
<li>Size : 16, 17</li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b> ( <a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<p><strong>Suggested Size</strong><br></p>
<p><strong><img height=""351"" width=""438"" src=""https://cdn.shopify.com/s/files/1/0482/2407/5932/files/img10US_480x480.png?v=1631614545"" alt=""""></strong></p>
<ul></ul>",van cleef arpels,,bracelet,"vca clover, vca perlee",TRUE,Material,Silver alloy - 14k gold plated ( no box ),Size,16,Color,Pink Gold,,0,,0,deny,manual,51.82,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13343240870279908_81a8002f-5afa-4ade-a195-ede74475a8ac.jpg?v=1780215262,1,,,,,,g,,,,,active
perlee-signature-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13343240890384004_cd4d4df4-6d2d-4ea1-8203-927f88bf61ad.jpg?v=1780215262,2,,,,,,,,,,,
perlee-signature-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13343240892698362_bc7b486b-2e36-4002-ac7d-2fa99793addd.jpg?v=1780215262,3,,,,,,,,,,,
perlee-signature-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13343240894547478_eb05378d-9b89-4565-99e1-1b0aa407d4ad.jpg?v=1780215261,4,,,,,,,,,,,
perlee-signature-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13343240897000915_8bedb41a-506a-4f69-a0cf-af01a7302f41.jpg?v=1780215262,5,,,,,,,,,,,
perlee-signature-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13343240898965233_e8246e0d-28b1-4bd1-92f1-a962df01f8f5.jpg?v=1780215262,6,,,,,,,,,,,
perlee-signature-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13343240901286885_b91f3ba8-590d-438c-9418-c5ece095a4ab.jpg?v=1780215262,7,,,,,,,,,,,
perlee-signature-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13343240905641700_cda8d5fc-6357-43f1-86d9-26a616d695f6.jpg?v=1780215262,8,,,,,,,,,,,
perlee-signature-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13343240909486904_dc71e7b1-8212-4a14-b91f-e9fa516d81b6.jpg?v=1780215262,9,,,,,,,,,,,
perlee-signature-bracelet,,"<p><video style=""max-width: 100%; height: auto;"" controls=""controls""> <source type=""video/mp4"" src=""https://cdn.shopify.com/videos/c/o/v/4f6e7b00fb664b54ad62fd590fbdcbcd.mp4?v=1603698625""> Your browser does not support our video. </source></video></p>
<p><strong>DESCRIPTION</strong></p>
<ul>
<li>Color: Pink Gold, Silver, Gold</li>
<li>Stone: no</li>
<li>Ref.<span data-mce-fragment=""1"">RO3YB00</span>
</li>
<li>Material:<br>- <span data-mce-fragment=""1"">Silver alloy - 14k gold plated ( no box )</span><br>- 925 Sterling Silver - 18k Gold Plated <br><span data-mce-fragment=""1"">- 18k Real Gold ( contact us via instagram)</span><br>
</li>
<li>Width: 8 mm</li>
<li>Size : 16, 17</li>
<li>Our replica products are committed to quality and color when used. They are made 99% similar to the original.</li>
<li><span data-mce-fragment=""1"">After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></li>
<li><span data-mce-fragment=""1"">You can choose the genuine product box that comes with the selected products at the order shipping line</span></li>
</ul>
<p><span data-mce-fragment=""1"">✈️ <b>Shipping Time </b></span><br></p>
<ul>
<li><span data-mce-fragment=""1""><b> ( <a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></span></li>
</ul>
<p><strong>Suggested Size</strong><br></p>
<p><strong><img height=""351"" width=""438"" src=""https://cdn.shopify.com/s/files/1/0482/2407/5932/files/img10US_480x480.png?v=1631614545"" alt=""""></strong></p>
<ul></ul>",van cleef arpels,,bracelet,"vca clover, vca perlee",TRUE,Material,Silver alloy - 14k gold plated ( no box ),Size,16,Color,Gold,,0,,0,deny,manual,51.82,,TRUE,FALSE,,,,,,,,,g,,,,,active
