Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
miumiu-25-sneaker-brown-white-leopard-suede-wool-535581,MiuMiu 25 Sneaker Brown White Leopard Suede Wool 535581,"<p><strong>DESCRIPTION</strong></p>
<p><span>Color: Brown, Leopard, White </span></p>
<p><span>Material:  Suede Wool</span></p>
<p><span>High hell : 1.5cm</span></p>
<p><span>Sizes: 35-39 (Sizes 40 and 41 are custom-made and non-refundable)</span></p>
<p><span>The products are 1:1 copies of the original version and they are the same from every detail.</span></p>
<p><span>After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></p>
<p><span>Support return and exchange in 1 month if the product is defective or the customer is not satisfied with the product.</span></p>
<p><span><b>Shipping Time</b></span></p>
<p><b style=""font-size: 0.875rem;"">( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></p>
<p><strong>Suggested Size</strong><br></p>
<p><img height="""" width=""542"" alt="""" src=""https://cdn.shopify.com/s/files/1/0709/6542/8499/files/Image_20240111091823.jpg?v=1704939562""></p>
<ul></ul>",Miumiu shoe,,Shoe,"Fall/Winter collection, new arrival, shoe 2025, sneaker",TRUE,Size,35,,,,,,0,,0,deny,manual,141.75,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20251016_cmp_i1760620812791_3811_0_0_jpg_5aec97b4-e68d-4ce6-94eb-8e1540bf418b.jpg?v=1762401418,1,,,,,,g,,,,,active
miumiu-25-sneaker-brown-white-leopard-suede-wool-535581,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20251016_cmp_i1760620812791_2936_0_3_jpg_37086348-0fcc-4f44-82a3-1ef897536f97.jpg?v=1762401418,2,,,,,,,,,,,
miumiu-25-sneaker-brown-white-leopard-suede-wool-535581,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20251016_cmp_i1760620812791_7167_0_1_jpg_435f9326-3b53-42f0-907d-5b76a25fc647.jpg?v=1762401418,3,,,,,,,,,,,
miumiu-25-sneaker-brown-white-leopard-suede-wool-535581,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20251016_cmp_i1760620812791_7521_0_4_jpg_54276de4-1dae-4053-aab7-1f7001f798a1.jpg?v=1762401418,4,,,,,,,,,,,
miumiu-25-sneaker-brown-white-leopard-suede-wool-535581,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20251016_cmp_i1760620814652_3269_0_8_jpg_2ad4bcc3-03d3-4357-92c6-f6c288f8d935.jpg?v=1762401418,5,,,,,,,,,,,
miumiu-25-sneaker-brown-white-leopard-suede-wool-535581,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20251016_cmp_i1760620814652_9726_0_6_jpg_cd2548be-a083-4c4e-bcb7-e8ece515e1f6.jpg?v=1762401418,6,,,,,,,,,,,
miumiu-25-sneaker-brown-white-leopard-suede-wool-535581,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20251016_cmp_i1760620815480_7871_0_7_jpg_04efa52d-3727-4e83-a971-ad70330da6c0.jpg?v=1762401418,7,,,,,,,,,,,
miumiu-25-sneaker-brown-white-leopard-suede-wool-535581,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20251016_cmp_i1760620815481_1371_0_5_jpg_30766cf9-9819-450e-9efc-1109ca41502c.jpg?v=1762401418,8,,,,,,,,,,,
miumiu-25-sneaker-brown-white-leopard-suede-wool-535581,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/imgHD_fc23bd8b_20251016_cmp_i1760620815481_9818_0_2_jpg_1b42e78f-3222-4c95-a526-5628b9f03a5c.jpg?v=1762401418,9,,,,,,,,,,,
miumiu-25-sneaker-brown-white-leopard-suede-wool-535581,,"<p><strong>DESCRIPTION</strong></p>
<p><span>Color: Brown, Leopard, White </span></p>
<p><span>Material:  Suede Wool</span></p>
<p><span>High hell : 1.5cm</span></p>
<p><span>Sizes: 35-39 (Sizes 40 and 41 are custom-made and non-refundable)</span></p>
<p><span>The products are 1:1 copies of the original version and they are the same from every detail.</span></p>
<p><span>After receiving the products, if the customer is not satisfied or has a problem with a manufacturer defect, they can be refunded and exchanged within 1 month.</span></p>
<p><span>Support return and exchange in 1 month if the product is defective or the customer is not satisfied with the product.</span></p>
<p><span><b>Shipping Time</b></span></p>
<p><b style=""font-size: 0.875rem;"">( <a href=""https://cdn.shopify.com/s/files/1/0582/0160/4296/files/shipping_time.png?v=1638177043"">Click Here</a>)</b></p>
<p><strong>Suggested Size</strong><br></p>
<p><img height="""" width=""542"" alt="""" src=""https://cdn.shopify.com/s/files/1/0709/6542/8499/files/Image_20240111091823.jpg?v=1704939562""></p>
<ul></ul>",Miumiu shoe,,Shoe,"Fall/Winter collection, new arrival, shoe 2025, sneaker",TRUE,Size,36,,,,,,0,,0,deny,manual,141.75,,TRUE,FALSE,,,,,,,,,g,,,,,active
